version:,2
modelname:,ちゃむ式新宿のアサシ
boneframe_ct:,16478
bone_name,frame_num,Xpos,Ypos,Zpos,Xrot,Yrot,Zrot,phys_disable,interp_x_ax,interp_x_ay,interp_x_bx,interp_x_by,interp_y_ax,interp_y_ay,interp_y_bx,interp_y_by,interp_z_ax,interp_z_ay,interp_z_bx,interp_z_by,interp_r_ax,interp_r_ay,interp_r_bx,interp_r_by
グルーブ,1094,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1098,0.0,-0.08499979972839355,0.0,-0.0,-0.0,-0.0,False,53,0,76,127,53,0,76,127,53,0,76,127,53,0,76,127
グルーブ,1109,0.0,0.04499807208776474,0.0,-0.0,-0.0,-0.0,False,53,0,76,127,53,0,76,127,53,0,76,127,53,0,76,127
グルーブ,1112,0.0,-0.6000007390975952,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1119,0.0,-0.510001540184021,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1130,0.0,0.4999990165233612,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1139,0.0,-0.8050001859664917,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1148,0.0,0.3649989366531372,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1152,0.0,-0.451913058757782,0.0,-0.0,-0.0,-0.0,False,53,9,71,111,53,9,71,111,53,9,71,111,53,9,71,111
グルーブ,1158,0.0,-0.24500122666358948,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1162,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1166,0.0,-0.4000009298324585,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1173,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,53,0,76,127,53,0,76,127,53,0,76,127,53,0,76,127
グルーブ,1180,0.0,-0.9750000238418579,0.0,-0.0,-0.0,-0.0,False,53,0,76,127,53,0,76,127,53,0,76,127,53,0,76,127
グルーブ,1188,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,53,0,76,127,53,0,76,127,53,0,76,127,53,0,76,127
グルーブ,1193,0.0,-0.410000741481781,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1203,0.0,0.6349989175796509,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1208,0.0,-0.4500015676021576,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1218,0.0,-1.4300010204315186,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1225,0.0,-0.3950008749961853,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1230,0.0,-1.2450008392333984,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1239,0.0,-0.20000092685222626,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1245,0.0,-1.170000672340393,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1254,0.0,0.19999903440475464,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1258,0.0,-0.4146732985973358,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1267,0.0,0.11500000208616257,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1272,0.0,-0.7100006937980652,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1284,0.0,-1.0282493829727173,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1292,0.0,-0.25,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1295,0.0,-0.1600000113248825,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1299,0.0,-0.6200013756752014,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1307,0.0,0.013421831652522087,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1313,0.0,-0.4000009298324585,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1316,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1320,0.0,-0.2500009536743164,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1324,0.0,-0.7599997520446777,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1333,0.0,0.434999018907547,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1340,0.0,-0.1250009387731552,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1346,0.0,0.6149987578392029,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1351,0.0,-0.2842435836791992,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1358,0.0,0.4899986684322357,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1363,0.0,-0.16499999165534973,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1372,0.0,0.6599998474121094,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1377,0.0,-0.2749999761581421,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1386,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1395,0.0,-0.74000084400177,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1399,0.0,-0.18934009969234467,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1404,0.0,-0.5650007724761963,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1408,0.0,-0.19000139832496643,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,1412,0.0,-0.3600018322467804,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1418,0.0,0.03999999910593033,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1431,0.0,-1.0099995136260986,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1442,0.0,-0.3300001323223114,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1459,0.0,-0.7649997472763062,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1469,0.0,0.30000001192092896,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1477,0.0,-0.20999997854232788,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1488,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1501,0.0,-0.6550005674362183,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1514,0.0,-3.4750008583068848,0.0,-0.0,-0.0,-0.0,False,91,0,67,127,91,0,67,127,91,0,67,127,91,0,67,127
グルーブ,1518,0.0,-3.4750008583068848,0.0,-0.0,-0.0,-0.0,False,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
グルーブ,1536,0.0,-1.4649990797042847,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
